episode,efficiency,equality,sustainability,peace
1,10.0,0.48888888888888893,33.323,5.825
2,12.833333333333334,0.6212121212121212,46.355,5.85
3,10.166666666666666,0.42349726775956287,32.693,5.8
4,14.333333333333334,0.4612403100775194,47.37,5.725
5,18.0,0.5740740740740741,56.355,5.875
6,6.5,0.5085470085470085,18.371,5.775
7,13.5,0.5617283950617284,49.199,5.794
8,13.666666666666666,0.44715447154471544,29.206,5.823
9,15.5,0.6218637992831542,53.314,5.576
10,12.0,0.587962962962963,35.471,5.75
11,13.833333333333334,0.748995983935743,46.811,5.675
12,14.5,0.43486590038314177,51.726,5.825
13,14.833333333333334,0.5636704119850187,34.451,5.95
14,6.0,0.3055555555555556,21.136,5.65
15,6.833333333333333,0.5731707317073171,20.332,5.775
16,2.8333333333333335,0.303921568627451,11.513,5.55
17,11.666666666666666,0.4666666666666667,43.744,5.625
18,13.166666666666666,0.5379746835443038,52.25,5.706
19,8.333333333333334,0.42000000000000004,28.294,5.721
20,11.666666666666666,0.5285714285714286,35.38,5.75
21,13.666666666666666,0.6300813008130082,33.152,5.825
22,13.666666666666666,0.5752032520325203,42.173,5.775
23,16.833333333333332,0.6320132013201321,44.178,5.697
24,18.0,0.5154320987654322,49.326,5.776
25,16.666666666666668,0.72,51.436,5.825
26,8.666666666666666,0.40384615384615385,25.885,5.675
27,12.833333333333334,0.7034632034632035,40.014,5.85
28,18.0,0.8302469135802469,61.894,5.75
29,19.666666666666668,0.7146892655367232,62.958,5.837
30,15.666666666666666,0.5567375886524824,50.073,5.725
31,16.333333333333332,0.6428571428571428,48.444,5.775
32,18.166666666666668,0.5856269113149848,56.283,5.95
33,19.833333333333332,0.6064425770308124,60.768,5.9
34,19.333333333333332,0.6350574712643677,60.847,5.825
35,14.5,0.5804597701149425,44.286,5.725
36,8.333333333333334,0.4733333333333334,13.093,5.76
37,16.5,0.6346801346801347,58.697,5.71
38,15.0,0.6925925925925926,45.576,5.75
39,13.166666666666666,0.6814345991561181,48.798,5.825
40,7.666666666666667,0.4094202898550725,30.4,5.55
41,16.833333333333332,0.7475247524752475,51.294,5.875
42,9.166666666666666,0.6151515151515152,20.127,5.9
43,19.0,0.5497076023391814,52.409,5.85
44,26.833333333333332,0.8457556935817805,83.15,5.8
45,28.333333333333332,0.7,95.346,5.85
46,22.5,0.6111111111111112,66.83,5.9
47,18.333333333333332,0.6151515151515152,50.116,5.9
48,16.833333333333332,0.6056105610561056,46.225,5.825
49,22.5,0.7148148148148148,85.405,5.9
50,8.0,0.5208333333333333,12.511,5.8
51,19.333333333333332,0.7385057471264368,43.238,5.85
52,20.5,0.6219512195121951,65.86,5.825
53,21.833333333333332,0.8104325699745547,64.293,5.825
54,11.333333333333334,0.7598039215686274,22.786,5.725
55,20.333333333333332,0.7404371584699454,62.097,5.9
56,23.5,0.6513002364066194,72.816,5.875
57,22.166666666666668,0.5852130325814536,54.254,5.925
58,16.833333333333332,0.7739273927392739,33.317,5.975
59,21.166666666666668,0.8202099737532809,60.476,5.85
60,20.5,0.6869918699186992,60.133,5.925
61,27.0,0.6069958847736625,91.728,5.925
62,23.666666666666668,0.8145539906103286,63.071,5.875
63,16.666666666666668,0.75,39.858,5.95
64,25.166666666666668,0.6567328918322296,69.892,5.875
65,20.333333333333332,0.7021857923497268,44.846,5.95
66,24.166666666666668,0.7505747126436781,71.306,5.9
67,24.166666666666668,0.6379310344827587,73.509,5.85
68,25.0,0.6533333333333333,54.397,5.925
69,20.333333333333332,0.7295081967213115,47.19,5.925
70,17.166666666666668,0.6877022653721683,38.992,5.975
71,23.166666666666668,0.6534772182254196,63.791,5.975
72,21.166666666666668,0.583989501312336,54.974,5.975
73,26.166666666666668,0.7484076433121019,78.138,5.95
74,20.5,0.5921409214092141,57.444,5.925
75,24.333333333333332,0.730593607305936,60.365,5.875
76,19.0,0.5730994152046784,44.655,5.975
77,33.333333333333336,0.7766666666666666,93.397,5.975
78,23.333333333333332,0.7523809523809524,49.819,5.9
79,25.166666666666668,0.685430463576159,60.788,5.95
80,20.666666666666668,0.6612903225806452,44.613,5.889
81,20.833333333333332,0.6759999999999999,56.468,5.875
82,21.0,0.7380952380952381,56.881,5.925
83,22.833333333333332,0.6167883211678833,64.455,5.925
84,21.166666666666668,0.7283464566929134,42.668,5.85
85,30.166666666666668,0.6362799263351749,81.154,5.9
86,19.5,0.5398860398860399,53.298,5.8
87,20.833333333333332,0.7853333333333333,66.128,5.875
88,20.833333333333332,0.8253333333333334,46.681,5.85
89,20.833333333333332,0.772,60.538,5.825
90,23.666666666666668,0.5868544600938967,56.118,5.775
91,15.0,0.528395061728395,34.793,5.825
92,17.833333333333332,0.6962616822429907,34.844,5.775
93,20.166666666666668,0.731404958677686,55.878,5.825
94,22.666666666666668,0.607843137254902,47.611,5.821
95,26.833333333333332,0.5931677018633541,80.785,5.975
96,24.833333333333332,0.6879194630872483,71.273,5.875
97,24.666666666666668,0.6418918918918919,62.312,5.95
98,29.0,0.7375478927203065,78.32,5.95
99,17.333333333333332,0.7403846153846154,47.113,5.95
100,32.333333333333336,0.7250859106529209,98.764,5.825
101,14.0,0.5158730158730158,27.121,5.6
102,24.666666666666668,0.5923423423423424,69.805,5.9
