efficiency,sustainability,equality,peace
35.75,58.68,923.81,0.76
36.75,70.78,914.84,0.79
32.25,65.31,921.51,0.76
21.75,31.92,923.86,0.78
31.75,58.36,922.07,0.75
35.5,71.17,922.91,0.79
30.75,59.29,925.97,0.79
34.75,52.45,913.72,0.79
24.25,49.94,914.47,0.79
30.0,50.5,929.53,0.79
29.25,55.37,910.0,0.77
33.25,69.61,932.12,0.76
27.5,51.38,898.68,0.77
26.5,46.09,921.71,0.77
30.25,60.58,919.75,0.77
31.25,59.98,922.66,0.77
35.5,63.73,917.43,0.77
33.0,61.05,917.32,0.79
32.75,46.38,927.74,0.79
25.25,48.14,923.23,0.78
32.0,59.24,924.61,0.78
24.0,47.99,884.97,0.78
27.5,29.96,914.33,0.77
34.75,64.02,910.93,0.79
38.75,71.71,923.72,0.77
28.5,53.73,918.44,0.78
37.75,68.94,912.22,0.79
29.75,54.3,924.06,0.77
27.0,52.17,920.01,0.76
32.75,64.28,913.32,0.79
23.25,44.35,903.77,0.77
31.5,61.49,925.67,0.79
21.75,40.69,916.52,0.78
31.0,52.2,916.24,0.8
25.25,45.1,921.03,0.77
28.75,53.43,894.0,0.78
28.75,54.43,905.6,0.79
24.5,50.98,900.29,0.76
37.5,81.17,930.73,0.79
26.0,49.23,926.14,0.77
19.5,45.49,892.67,0.79
33.5,73.4,934.05,0.8
25.25,46.23,908.93,0.76
26.0,51.96,922.41,0.78
25.25,49.92,894.62,0.78
28.25,58.62,901.04,0.79
36.75,68.15,918.62,0.77
30.75,53.7,922.81,0.77
35.5,60.3,919.98,0.79
27.5,61.53,924.44,0.8
21.5,20.4,923.54,0.79
15.75,24.35,921.55,0.79
14.25,22.25,919.83,0.77
17.5,32.09,916.8,0.77
18.0,40.07,912.88,0.79
25.25,28.14,923.63,0.77
18.25,48.69,934.26,0.77
28.5,37.61,927.21,0.78
22.0,43.18,925.26,0.76
24.25,29.19,913.32,0.8
14.5,39.88,926.73,0.78
23.0,51.29,920.21,0.76
26.25,37.36,916.74,0.79
24.5,19.08,921.17,0.78
17.0,38.98,922.0,0.8
18.0,58.04,920.5,0.77
30.75,8.89,887.51,0.77
11.75,25.49,927.64,0.78
18.25,29.97,908.7,0.77
18.0,41.79,926.34,0.79
21.75,25.75,911.23,0.74
17.25,32.44,924.64,0.78
21.0,37.93,923.91,0.79
20.25,32.92,917.25,0.78
18.75,34.62,893.88,0.78
19.0,21.26,899.28,0.76
15.75,37.31,918.44,0.79
22.5,31.66,922.28,0.79
17.25,37.75,919.14,0.79
20.25,37.98,933.06,0.77
22.5,64.25,913.32,0.74
35.0,48.17,926.32,0.8
25.0,28.92,894.1,0.77
20.0,20.88,917.87,0.76
20.0,54.32,909.39,0.79
25.75,63.15,914.1,0.77
30.0,38.94,928.56,0.78
25.0,40.32,933.69,0.77
24.0,39.1,923.93,0.79
21.5,39.0,923.19,0.76
20.75,30.22,930.21,0.78
19.5,63.24,937.6,0.78
27.75,49.19,921.84,0.78
25.0,33.7,893.61,0.78
17.25,47.2,909.46,0.77
22.75,47.34,924.19,0.79
28.5,30.89,920.34,0.77
19.75,53.08,916.64,0.77
21.5,37.05,930.52,0.77
6.5,11.39,936.05,0.79
18.5,30.3,928.92,0.8
23.5,42.3,937.78,0.79
24.0,36.53,924.76,0.79
19.0,39.91,923.38,0.79
16.25,26.5,913.32,0.79
23.0,36.26,934.79,0.77
19.5,27.5,921.33,0.79
11.25,17.01,925.09,0.77
17.5,24.94,903.22,0.78
21.25,28.71,903.55,0.79
16.25,40.13,922.85,0.78
15.0,24.0,926.1,0.79
19.5,34.91,923.68,0.77
19.0,23.8,932.96,0.79
21.0,45.37,920.49,0.79
19.0,24.62,912.37,0.77
24.0,34.7,915.37,0.76
22.5,47.94,921.44,0.77
16.5,24.89,921.19,0.79
