efficiency,sustainability,equality,peace
59.25,110.22,878.64,0.78
48.75,91.1,886.26,0.76
43.5,76.78,866.71,0.79
48.75,89.48,876.01,0.79
38.5,73.47,879.42,0.78
34.75,48.01,881.75,0.77
38.75,61.47,881.79,0.8
49.5,91.77,882.74,0.76
41.5,80.72,884.21,0.76
54.25,107.29,896.17,0.76
48.75,89.75,901.79,0.79
56.25,98.34,892.22,0.78
46.75,84.2,880.35,0.79
39.25,65.37,890.68,0.8
51.0,104.85,876.7,0.77
41.0,71.73,877.76,0.77
44.25,81.52,878.17,0.79
55.5,98.8,888.8,0.77
51.25,93.57,887.04,0.76
48.0,88.48,878.61,0.77
39.75,52.79,896.9,0.77
48.25,83.84,884.97,0.77
48.75,87.46,876.15,0.79
44.0,66.84,884.92,0.79
42.5,84.75,875.09,0.78
52.0,90.22,879.01,0.76
51.5,86.82,885.01,0.76
54.5,91.36,881.86,0.77
48.25,74.78,901.24,0.77
47.75,98.49,890.64,0.79
41.75,82.68,881.72,0.77
42.75,59.56,874.67,0.77
47.5,85.46,881.75,0.75
38.25,59.91,864.67,0.73
42.75,74.86,881.16,0.77
42.25,74.47,879.8,0.79
59.5,109.2,882.05,0.77
44.75,90.32,878.57,0.77
55.5,102.95,892.81,0.77
52.5,104.24,889.25,0.75
54.75,96.17,895.06,0.79
42.0,69.52,883.07,0.76
47.0,76.54,874.32,0.78
56.75,107.7,881.27,0.79
39.75,63.62,887.82,0.77
54.75,103.16,895.57,0.76
55.75,113.63,885.18,0.78
46.5,85.71,877.19,0.75
54.75,111.51,877.31,0.76
59.0,109.08,879.43,0.79
51.0,93.23,871.39,0.77
48.0,82.77,877.74,0.77
46.5,94.55,889.13,0.74
42.5,66.94,868.23,0.76
43.0,80.23,870.37,0.79
43.25,80.65,869.66,0.78
38.25,71.76,869.03,0.79
46.5,76.7,876.59,0.75
37.0,66.53,873.54,0.74
44.0,78.0,874.5,0.76
43.25,82.94,885.07,0.76
48.0,83.88,875.13,0.74
35.5,54.67,880.86,0.77
41.25,75.23,867.2,0.8
43.5,82.32,899.6,0.77
35.5,60.97,861.3,0.77
32.5,38.58,874.87,0.75
50.5,94.51,878.13,0.75
47.0,88.38,878.46,0.79
51.0,97.88,889.63,0.77
56.5,108.91,891.45,0.76
44.75,79.15,888.5,0.77
51.25,99.42,873.22,0.79
42.0,73.6,887.86,0.79
49.25,100.04,884.85,0.78
41.5,69.26,887.06,0.78
50.75,102.2,875.84,0.78
46.0,78.42,870.76,0.77
48.0,95.19,878.17,0.78
36.75,62.67,886.12,0.77
47.25,90.21,886.28,0.74
56.5,102.26,885.92,0.74
48.25,90.36,879.07,0.77
51.0,80.7,872.48,0.77
39.5,69.38,874.65,0.78
42.25,76.87,875.85,0.77
43.0,72.19,874.25,0.76
39.75,69.56,878.04,0.74
56.25,113.1,878.51,0.73
36.25,65.02,878.85,0.75
59.0,119.45,883.2,0.76
47.25,84.28,885.7,0.74
47.5,80.73,892.57,0.77
45.5,84.02,898.37,0.79
42.0,68.41,886.54,0.76
38.0,52.66,897.06,0.75
52.75,99.05,895.95,0.73
44.75,79.21,874.22,0.78
46.5,89.44,896.0,0.78
53.75,109.21,890.98,0.78
37.25,73.11,885.18,0.77
52.75,103.41,889.37,0.74
30.75,41.09,889.39,0.74
37.75,56.29,879.48,0.77
48.75,87.86,880.0,0.74
52.75,91.11,892.0,0.74
42.75,76.52,883.6,0.76
52.0,90.03,885.02,0.78
50.0,103.15,889.99,0.77
55.0,91.14,879.24,0.77
44.25,73.18,891.04,0.79
50.75,100.42,890.61,0.76
39.25,65.77,885.37,0.77
42.25,77.79,883.74,0.75
50.5,101.27,893.66,0.76
52.5,88.26,883.57,0.76
34.5,66.45,876.29,0.73
43.75,79.56,890.79,0.76
58.5,119.67,889.59,0.78
52.75,102.44,893.58,0.74
46.0,74.62,878.0,0.77
44.75,88.74,883.53,0.75
44.75,77.66,881.05,0.76
44.0,80.6,891.86,0.76
47.25,77.92,885.99,0.76
46.75,84.84,872.03,0.79
49.75,90.96,875.08,0.77
40.0,65.63,876.18,0.77
39.5,68.47,887.66,0.79
46.5,71.71,884.06,0.74
38.75,61.25,885.37,0.78
47.0,78.35,879.94,0.76
49.5,87.47,872.64,0.76
36.25,58.86,868.88,0.77
42.0,63.94,872.32,0.77
38.0,66.98,870.75,0.75
40.5,75.46,892.75,0.76
40.75,63.93,887.08,0.76
41.5,71.39,888.56,0.78
56.0,113.54,881.58,0.74
35.5,66.61,880.07,0.76
39.0,70.3,878.07,0.77
46.0,88.0,880.42,0.77
56.5,112.77,871.29,0.77
38.0,68.73,876.05,0.77
55.5,109.41,886.05,0.76
45.0,77.09,880.0,0.75
34.75,50.98,902.93,0.76
52.5,90.33,886.08,0.76
40.5,74.35,880.41,0.76
50.75,91.91,881.99,0.77
48.5,91.07,884.69,0.77
45.5,74.05,891.65,0.76
48.75,94.26,888.26,0.75
61.5,123.68,891.42,0.77
58.25,107.3,878.04,0.73
49.25,97.56,873.57,0.77
37.75,53.34,892.72,0.78
58.0,119.39,885.79,0.78
38.5,63.49,881.22,0.77
39.75,61.03,880.13,0.77
57.75,112.01,892.4,0.76
51.25,96.5,871.59,0.76
53.25,98.37,877.86,0.76
44.75,76.2,890.98,0.76
53.5,95.99,881.92,0.74
31.0,36.9,873.01,0.77
32.75,50.84,887.46,0.73
34.75,51.93,889.75,0.76
41.5,65.39,886.89,0.79
33.75,34.74,882.46,0.77
37.5,63.96,886.85,0.79
48.0,66.36,893.07,0.77
53.0,101.41,873.5,0.75
50.25,86.22,891.22,0.78
52.5,91.41,886.87,0.78
44.75,80.94,877.02,0.76
53.0,94.56,878.61,0.77
42.0,63.0,876.95,0.76
49.0,84.63,886.12,0.75
46.5,89.8,884.95,0.77
40.75,60.02,887.08,0.77
54.25,100.61,895.92,0.77
57.5,107.59,888.21,0.74
47.5,84.06,889.35,0.78
55.0,98.4,879.74,0.75
43.0,57.31,895.88,0.76
37.25,55.93,888.35,0.76
58.0,105.99,872.38,0.79
49.75,85.04,880.66,0.77
47.0,76.7,874.47,0.74
59.5,109.9,868.04,0.76
62.0,116.86,876.14,0.76
56.25,109.59,876.04,0.73
58.5,115.6,888.64,0.77
59.0,104.11,890.26,0.77
25.25,30.6,871.52,0.78
51.25,91.75,884.33,0.77
39.75,64.82,871.4,0.77
45.0,80.14,874.13,0.77
43.0,64.23,889.1,0.75
46.0,78.08,884.34,0.76
50.5,88.46,877.85,0.75
47.0,78.51,880.82,0.79
45.75,74.25,881.45,0.75
34.25,51.78,885.35,0.74
43.25,68.92,878.65,0.76
59.0,110.8,887.9,0.76
40.75,65.65,878.22,0.77
49.5,81.82,895.37,0.76
23.0,18.52,869.25,0.79
54.25,89.35,882.86,0.76
37.5,60.42,884.44,0.8
53.25,104.43,890.11,0.76
44.75,64.51,890.36,0.75
49.5,78.71,879.1,0.79
53.5,100.79,894.89,0.79
61.0,113.91,882.82,0.77
47.0,91.25,892.94,0.75
70.0,137.6,893.49,0.77
58.0,104.24,874.78,0.77
44.25,84.26,882.73,0.77
47.25,79.68,889.52,0.77
31.5,34.65,883.79,0.78
62.25,110.15,890.35,0.76
53.5,95.63,885.03,0.74
52.0,97.24,893.03,0.76
44.75,74.02,884.77,0.73
45.5,66.36,887.08,0.77
51.25,83.58,880.27,0.75
40.75,67.05,889.47,0.77
45.5,84.21,878.53,0.74
46.5,64.04,891.97,0.79
39.75,61.74,881.88,0.77
34.75,51.14,869.76,0.77
48.5,88.04,892.14,0.76
38.0,53.21,875.32,0.79
49.0,90.41,879.31,0.76
51.0,87.9,892.09,0.72
49.25,85.76,876.95,0.77
49.75,86.88,884.29,0.76
56.75,107.77,888.12,0.77
44.5,74.25,890.86,0.77
46.75,85.11,871.14,0.76
44.25,95.2,876.61,0.76
63.25,125.79,887.2,0.75
46.0,69.6,890.38,0.78
56.75,96.83,886.41,0.78
33.0,48.04,870.4,0.78
37.75,48.71,871.94,0.77
40.25,64.77,875.37,0.75
50.75,85.55,880.76,0.72
31.25,37.54,913.77,0.77
55.0,101.03,887.57,0.77
47.75,87.59,873.77,0.76
37.25,52.61,884.99,0.77
33.75,42.32,886.37,0.77
42.25,69.64,877.5,0.77
39.75,70.34,885.03,0.77
56.25,97.82,881.97,0.73
57.25,106.39,876.21,0.79
57.5,103.99,874.92,0.78
51.0,95.56,884.73,0.75
49.0,97.09,876.48,0.77
53.25,94.51,880.73,0.79
39.0,57.83,886.26,0.77
37.5,45.82,896.1,0.79
44.0,79.04,884.29,0.79
52.0,93.6,881.81,0.77
55.75,111.04,891.15,0.79
49.25,85.17,887.95,0.79
50.25,80.59,887.9,0.77
44.5,79.17,874.94,0.79
45.0,78.62,867.03,0.78
32.25,47.16,870.26,0.78
46.75,86.96,883.62,0.76
48.0,86.52,885.55,0.78
41.75,67.75,890.21,0.77
42.75,81.4,879.54,0.79
54.75,87.54,884.92,0.77
47.25,82.87,891.58,0.76
51.75,105.49,882.46,0.77
61.5,121.77,891.65,0.77
36.25,65.29,879.61,0.79
35.25,64.0,875.5,0.74
47.25,91.54,901.27,0.79
48.5,89.06,886.12,0.76
48.5,86.63,884.26,0.74
54.25,84.01,888.11,0.76
47.0,83.13,886.29,0.77
46.25,75.47,903.72,0.79
33.0,56.64,886.81,0.78
42.5,73.7,883.59,0.76
44.25,77.66,890.1,0.73
49.25,93.57,905.99,0.77
44.5,91.91,900.84,0.75
28.5,37.7,879.22,0.76
41.25,71.01,884.54,0.78
37.75,56.92,892.36,0.77
43.25,68.76,916.86,0.77
33.5,52.62,896.33,0.76
39.5,78.56,886.96,0.79
42.0,66.9,891.17,0.76
50.25,95.5,896.19,0.79
39.5,59.84,902.07,0.77
51.0,105.32,887.59,0.74
42.25,73.89,884.07,0.79
52.5,96.89,912.27,0.77
50.75,98.88,905.39,0.76
48.0,81.4,903.49,0.77
48.75,83.66,885.69,0.77
35.75,57.08,903.61,0.76
48.5,98.3,899.01,0.77
43.0,73.64,889.1,0.74
57.75,113.61,899.38,0.77
38.75,59.92,892.18,0.77
43.5,72.2,893.69,0.77
48.25,78.44,893.75,0.75
46.75,79.78,897.58,0.77
43.0,77.87,904.28,0.79
30.75,63.94,894.13,0.76
44.75,80.68,901.84,0.77
44.75,81.77,902.46,0.79
52.75,90.77,892.53,0.77
46.5,77.46,893.91,0.76
49.0,74.75,901.56,0.77
51.0,86.81,907.74,0.77
52.25,103.12,887.81,0.75
53.0,100.4,910.84,0.76
53.5,97.93,890.61,0.79
47.5,75.35,891.69,0.76
49.0,92.75,901.14,0.8
