efficiency,sustainability,equality,peace,cooperability
32.75,65.39,0.57,860.17,0.33
38.36,87.84,0.66,869.45,0.34
28.77,55.05,0.72,834.49,0.25
42.06,65.08,0.83,909.52,0.14
39.8,70.01,0.63,863.01,0.35
40.72,65.37,0.79,879.87,0.24
32.86,64.09,0.62,839.82,0.1
39.68,64.26,0.66,846.47,0.27
27.12,63.29,0.66,867.3,0.31
35.28,70.74,0.74,876.05,0.33
41.58,56.51,0.75,890.19,0.2
38.85,75.42,0.79,887.37,0.18
39.14,74.94,0.77,842.59,0.1
31.42,51.89,0.71,859.62,0.39
40.02,66.7,0.76,889.3,0.22
33.64,56.73,0.84,852.14,0.36
28.64,47.74,0.66,885.93,0.19
40.27,75.43,0.76,873.98,0.36
26.05,48.81,0.58,886.67,0.04
34.25,70.13,0.75,880.46,0.19
28.87,43.31,0.69,832.93,0.14
40.92,77.01,0.71,835.56,0.18
31.26,49.12,0.8,877.92,0.1
28.47,47.9,0.71,911.04,0.15
31.6,63.77,0.77,839.98,0.42
28.44,76.2,0.79,859.23,0.14
37.05,65.38,0.73,867.8,0.29
24.95,56.43,0.79,837.89,0.05
28.19,48.37,0.68,867.87,0.44
34.3,66.81,0.72,871.76,0.23
26.44,53.1,0.65,818.72,0.27
34.37,62.37,0.81,879.85,0.3
19.74,43.27,0.71,822.86,0.18
34.03,47.52,0.68,839.45,0.3
41.36,90.61,0.72,865.68,0.23
28.42,45.03,0.78,866.85,0.13
42.49,69.03,0.7,874.83,0.09
34.44,65.57,0.64,856.05,0.21
30.84,54.17,0.7,855.5,0.3
31.3,63.34,0.56,840.7,0.34
30.66,42.68,0.77,828.45,0.25
31.08,36.8,0.64,886.66,0.28
34.09,77.19,0.68,870.41,0.19
22.63,40.87,0.78,855.88,0.06
32.09,51.38,0.62,823.0,0.04
30.16,39.21,0.87,861.98,0.09
29.85,51.75,0.69,840.82,0.04
16.33,29.41,0.69,852.16,0.26
30.57,46.33,0.81,853.43,0.35
28.16,66.14,0.79,845.33,0.16
28.71,42.34,0.9,892.41,0.16
27.54,44.36,0.7,876.7,0.19
29.58,45.96,0.71,875.79,0.27
27.0,49.76,0.6,835.61,0.05
27.56,41.36,0.7,845.88,0.16
23.69,55.64,0.67,855.64,0.08
28.17,70.93,0.68,861.14,0.09
24.12,39.69,0.58,852.18,0.12
28.64,55.08,0.86,832.87,0.26
32.72,46.46,0.62,843.63,0.13
34.05,47.37,0.51,828.93,0.24
27.16,52.36,0.61,847.25,0.18
23.56,59.81,0.65,868.0,0.34
26.3,46.66,0.63,858.8,0.03
28.16,46.6,0.8,900.19,0.01
31.12,61.72,0.71,832.46,0.04
22.63,58.96,0.72,867.54,0.16
24.46,40.23,0.77,849.41,0.26
28.87,49.87,0.75,922.86,0.21
22.68,44.62,0.79,853.68,0.23
23.02,60.62,0.65,871.65,0.16
23.75,49.98,0.67,862.92,0.14
22.36,50.7,0.78,829.87,0.06
24.0,47.37,0.54,839.1,0.29
26.22,58.39,0.63,867.57,0.15
27.9,54.05,0.75,846.34,0.07
22.05,52.47,0.69,851.39,0.0
28.62,49.77,0.8,880.52,0.14
23.96,37.5,0.78,861.02,0.16
19.99,53.47,0.63,873.75,0.11
28.88,55.97,0.75,837.78,0.34
18.37,23.5,0.83,829.96,0.12
29.89,66.42,0.75,877.98,0.07
23.47,50.89,0.64,903.66,0.13
22.68,43.5,0.79,831.98,0.22
24.22,49.81,0.78,880.56,0.07
29.05,51.83,0.77,843.84,0.16
24.17,56.17,0.78,851.22,0.38
23.47,38.24,0.49,856.86,0.18
29.16,39.61,0.8,877.59,0.13
24.26,40.18,0.88,876.23,0.12
21.32,38.99,0.76,876.9,0.06
28.5,48.55,0.74,830.76,0.29
19.38,39.15,0.77,909.23,0.07
22.37,43.89,0.75,892.32,0.27
22.88,42.14,0.78,799.44,0.28
25.47,26.44,0.73,858.03,0.19
21.57,34.81,0.66,849.39,0.14
26.71,49.26,0.65,874.69,0.27
22.01,48.02,0.64,853.97,0.1
21.24,43.22,0.62,849.37,0.27
25.69,57.13,0.65,907.02,0.19
20.09,46.16,0.85,878.74,0.27
23.42,45.41,0.78,881.1,0.11
24.59,40.71,0.68,895.98,0.09
21.84,45.02,0.7,840.63,0.24
13.46,36.66,0.73,840.15,0.13
25.88,23.71,0.67,872.61,0.16
17.82,30.7,0.73,882.65,0.16
25.96,45.93,0.78,801.53,0.08
19.77,44.51,0.73,899.41,0.0
24.16,44.46,0.73,839.75,0.3
17.21,25.99,0.79,866.03,0.23
19.83,58.61,0.69,878.85,0.23
24.56,26.55,0.74,837.29,0.11
21.48,37.79,0.69,830.65,0.16
21.86,38.91,0.71,806.04,0.14
16.31,32.69,0.69,839.96,0.12
22.24,36.72,0.68,823.9,0.12
21.82,43.73,0.73,860.19,0.21
17.61,46.35,0.75,910.45,0.2
30.65,53.41,0.71,851.09,0.17
26.99,49.4,0.77,856.62,0.21
22.55,28.66,0.66,883.25,0.28
24.37,37.39,0.62,866.15,0.17
29.57,62.26,0.76,857.44,0.08
26.66,50.71,0.78,834.71,0.26
27.83,46.7,0.72,850.7,0.06
21.76,45.75,0.84,868.75,0.25
20.76,31.63,0.8,844.78,0.16
22.46,33.66,0.93,865.28,0.11
20.75,31.84,0.7,840.5,0.21
21.2,55.44,0.66,868.5,0.23
24.14,47.51,0.67,830.14,0.23
28.88,21.71,0.67,843.56,0.24
20.07,47.39,0.77,898.3,0.23
21.92,44.97,0.55,864.55,0.12
28.27,36.32,0.8,884.14,0.1
22.09,47.34,0.7,831.96,0.01
24.98,51.51,0.71,831.35,0.14
20.09,39.93,0.65,875.35,0.25
25.96,48.82,0.72,891.53,0.2
17.7,28.39,0.74,861.51,0.21
29.83,39.81,0.73,848.97,0.1
20.38,34.89,0.73,877.58,0.12
14.39,28.38,0.69,822.44,0.17
26.48,47.85,0.66,858.98,0.05
18.78,34.25,0.78,866.82,0.31
17.12,35.82,0.73,889.85,0.19
17.89,29.73,0.74,871.12,0.29
20.6,33.23,0.81,864.28,0.2
22.37,50.71,0.65,882.6,0.1
22.3,42.59,0.66,872.12,0.15
24.03,35.74,0.82,862.56,0.04
18.83,38.26,0.62,820.66,0.19
19.87,47.63,0.64,836.4,0.12
17.87,27.53,0.78,856.78,0.06
23.33,36.19,0.74,816.56,0.05
20.66,28.77,0.73,863.69,0.14
19.88,33.26,0.73,857.97,0.14
24.45,52.14,0.73,854.83,0.2
21.94,39.43,0.7,846.98,0.09
21.33,41.01,0.85,876.21,0.28
19.78,35.9,0.71,874.36,0.31
27.9,43.35,0.71,813.42,0.16
24.37,43.32,0.89,865.57,0.07
18.59,33.81,0.73,889.76,0.18
17.5,29.3,0.91,849.33,0.02
15.8,31.36,0.71,863.26,0.29
22.7,25.99,0.83,843.13,0.13
18.11,35.49,0.59,844.88,0.32
11.54,20.32,0.74,898.71,0.16
19.62,30.82,0.6,853.7,0.23
15.38,29.06,0.79,814.76,0.36
25.07,43.06,0.64,879.78,0.14
25.65,51.52,0.76,880.03,0.14
18.35,41.23,0.7,885.18,0.35
27.33,54.75,0.63,842.32,0.22
16.9,44.11,0.61,854.23,0.27
20.97,30.25,0.69,863.08,0.23
20.06,35.49,0.86,894.67,0.07
20.93,23.67,0.7,862.97,0.34
21.23,33.52,0.8,912.62,0.02
16.55,28.88,0.71,849.81,0.2
16.76,31.71,0.8,890.47,0.12
21.62,43.74,0.59,839.01,0.21
15.27,28.18,0.69,851.58,0.12
24.17,53.51,0.81,848.65,0.25
16.6,27.64,0.7,841.63,0.18
14.82,20.36,0.7,838.27,0.3
23.1,35.66,0.7,843.44,0.11
21.51,28.09,0.8,879.06,0.14
16.13,25.67,0.75,852.45,0.18
17.7,34.84,0.73,853.86,0.19
19.9,34.16,0.78,872.42,0.13
21.9,42.77,0.77,856.94,0.28
20.69,41.4,0.75,842.9,0.36
21.38,43.04,0.85,814.28,0.09
13.88,37.52,0.72,858.82,0.19
11.36,17.64,0.75,858.36,0.03
21.56,44.33,0.67,883.39,0.15
22.61,48.78,0.73,813.69,0.06
23.94,48.68,0.85,836.37,0.06
21.81,40.93,0.68,830.87,0.16
19.22,31.5,0.65,868.18,0.22
19.94,45.45,0.79,863.79,0.02
21.07,39.38,0.72,814.99,0.04
23.63,38.24,0.75,886.96,0.28
19.87,33.58,0.72,874.85,0.21
19.84,39.54,0.73,829.28,0.06
17.54,33.15,0.8,850.5,0.21
20.79,55.54,0.66,897.81,0.19
24.72,45.76,0.65,874.32,0.1
16.91,32.49,0.73,852.63,0.26
18.58,30.22,0.61,877.79,0.1
20.78,42.09,0.61,911.31,0.14
18.72,29.5,0.89,852.98,0.1
25.91,45.84,0.78,830.92,0.23
19.99,31.57,0.73,894.5,0.14
18.77,47.08,0.83,841.18,0.38
21.5,45.39,0.64,868.99,0.14
22.25,31.2,0.7,869.29,0.17
16.81,30.97,0.78,868.22,0.18
28.25,47.21,0.81,898.95,0.28
11.38,33.68,0.78,836.97,0.2
18.55,36.01,0.54,858.23,0.05
22.36,39.98,0.66,917.09,0.21
21.8,52.24,0.77,891.27,0.23
16.7,29.16,0.69,852.51,0.1
17.13,44.87,0.93,840.04,0.05
25.77,45.66,0.8,851.48,0.1
18.23,45.55,0.77,825.43,0.19
19.13,33.24,0.64,828.23,0.09
19.26,34.01,0.73,885.55,0.03
23.43,43.05,0.74,848.97,0.02
14.4,28.6,0.81,850.53,0.16
18.3,35.47,0.8,861.01,0.19
20.91,38.99,0.8,843.68,0.21
13.52,14.64,0.63,890.28,0.13
25.32,49.27,0.83,866.82,0.42
17.17,19.02,0.61,877.71,0.14
21.67,36.67,0.69,811.9,0.19
19.14,29.63,0.76,859.53,0.12
20.95,34.94,0.72,889.81,0.08
22.44,44.34,0.65,880.84,0.29
16.56,36.28,0.67,890.28,0.01
14.05,42.6,0.62,809.17,0.04
25.33,46.39,0.78,888.35,0.26
19.91,23.24,0.84,844.0,0.04
26.01,39.78,0.71,886.12,0.06
20.49,34.1,0.69,876.47,0.18
13.9,26.26,0.62,816.82,0.07
23.81,55.17,0.81,862.26,0.13
21.81,43.55,0.91,850.2,0.1
22.35,36.83,0.57,879.51,0.32
18.18,29.32,0.65,835.5,0.05
26.98,38.38,0.68,841.67,0.13
15.6,24.24,0.68,891.59,0.21
24.22,41.23,0.74,857.62,0.25
15.48,22.01,0.83,811.24,0.19
21.82,31.91,0.82,853.11,0.19
26.98,42.93,0.78,896.53,0.17
21.84,30.69,0.68,804.45,0.16
17.27,27.62,0.65,852.68,0.08
14.0,31.93,0.67,851.92,0.14
20.27,39.26,0.85,882.63,0.11
21.58,37.1,0.71,879.76,0.19
23.02,36.26,0.69,912.86,0.19
25.64,47.02,0.72,892.31,0.26
16.47,45.16,0.8,852.79,0.14
15.67,25.47,0.62,907.48,0.11
20.99,36.72,0.85,847.21,0.19
28.56,48.12,0.74,861.72,0.21
19.52,38.12,0.73,898.16,0.07
25.95,35.41,0.76,898.21,0.15
23.21,42.27,0.73,896.44,0.16
26.78,52.66,0.71,802.49,0.13
25.07,36.31,0.69,874.72,0.17
30.53,51.42,0.66,849.84,0.18
17.81,22.06,0.77,865.64,0.2
22.86,34.34,0.69,888.02,0.31
26.53,44.11,0.65,888.25,0.2
27.63,52.81,0.74,883.84,0.16
16.88,25.04,0.83,859.33,0.16
18.89,32.76,0.73,887.95,0.16
18.95,28.37,0.66,838.69,0.28
22.85,31.13,0.73,823.35,0.1
27.17,58.77,0.86,881.11,0.28
23.87,42.04,0.62,887.71,0.34
22.54,42.9,0.76,880.35,0.19
19.54,29.27,0.72,877.65,0.19
27.72,48.03,0.82,891.2,0.13
21.64,46.7,0.8,820.59,0.11
26.1,36.03,0.71,854.14,0.12
