efficiency,sustainability,equality,peace,cooperability
19.5,27.97,0.88,1000.0,0.28
20.25,34.24,0.8,1000.0,0.29
11.5,19.65,0.54,987.5,0.28
14.0,22.72,0.7,1000.0,0.27
15.75,35.58,0.55,1000.0,0.24
20.0,31.76,0.79,1000.0,0.28
24.75,41.49,0.65,1000.0,0.29
17.25,37.54,0.76,1000.0,0.29
31.0,66.75,0.83,1000.0,0.3
14.25,30.79,0.72,1000.0,0.27
14.75,24.37,0.75,1000.0,0.29
17.25,28.49,0.86,1000.0,0.3
19.25,23.12,0.75,1000.0,0.28
14.5,24.41,0.63,1000.0,0.3
14.25,25.56,0.77,993.75,0.26
28.25,65.26,0.74,1000.0,0.27
14.5,27.16,0.74,993.75,0.19
15.5,18.67,0.85,1000.0,0.25
21.0,47.22,0.85,1000.0,0.28
18.5,30.35,0.91,993.75,0.26
15.25,25.48,0.8,1000.0,0.3
13.5,27.52,0.62,993.75,0.25
16.25,19.49,0.68,1000.0,0.26
9.75,21.72,0.61,993.75,0.26
17.0,21.77,0.65,1000.0,0.31
21.25,26.82,0.81,1000.0,0.29
16.75,24.04,0.72,1000.0,0.32
24.0,48.83,0.69,993.75,0.31
21.25,39.64,0.79,1000.0,0.3
19.25,36.95,0.72,1000.0,0.3
16.5,30.98,0.77,1000.0,0.28
23.0,43.25,0.85,993.75,0.32
19.5,43.71,0.83,1000.0,0.28
15.0,32.53,0.92,1000.0,0.29
11.75,12.97,0.87,1000.0,0.28
19.0,32.13,0.7,1000.0,0.31
12.75,16.1,0.52,993.75,0.3
22.25,45.27,0.67,1000.0,0.31
12.75,23.7,0.63,1000.0,0.29
20.5,35.49,0.63,993.75,0.26
15.25,30.62,0.84,1000.0,0.3
17.0,23.92,0.69,1000.0,0.27
11.25,21.57,0.59,1000.0,0.3
12.25,18.15,0.68,993.75,0.28
23.0,48.51,0.78,993.75,0.32
23.25,48.45,0.85,1000.0,0.3
15.25,33.61,0.59,1000.0,0.3
10.25,17.78,0.66,1000.0,0.26
18.0,37.25,0.81,1000.0,0.2
14.75,29.89,0.57,1000.0,0.28
21.5,48.8,0.66,1000.0,0.28
16.0,28.1,0.65,993.75,0.28
21.0,33.6,0.81,993.75,0.3
18.25,40.84,0.69,1000.0,0.32
10.75,17.0,0.63,1000.0,0.31
20.0,52.2,0.92,1000.0,0.31
19.25,32.24,0.8,987.5,0.29
12.5,28.98,0.69,981.25,0.31
17.25,36.02,0.76,1000.0,0.31
19.0,30.67,0.76,1000.0,0.3
17.75,40.22,0.89,1000.0,0.23
24.75,59.96,0.64,1000.0,0.28
14.0,28.58,0.59,1000.0,0.3
22.0,54.62,0.75,993.75,0.27
12.75,19.12,0.6,1000.0,0.3
16.0,31.18,0.6,1000.0,0.32
17.75,43.78,0.73,1000.0,0.31
12.0,19.78,0.7,1000.0,0.33
16.75,45.76,0.8,993.75,0.3
14.0,28.2,0.87,1000.0,0.31
12.25,15.08,0.7,987.5,0.23
11.5,23.6,0.86,1000.0,0.3
10.25,26.31,0.51,1000.0,0.22
12.5,31.7,0.78,993.75,0.28
9.0,22.33,0.83,981.25,0.31
8.25,16.94,0.52,1000.0,0.29
12.25,23.5,0.65,993.75,0.28
25.25,53.65,0.75,1000.0,0.3
21.25,47.09,0.71,1000.0,0.33
20.5,48.55,0.89,993.75,0.32
19.75,47.84,0.79,1000.0,0.3
16.5,32.74,0.67,1000.0,0.25
23.25,49.94,0.69,1000.0,0.22
11.75,19.21,0.64,1000.0,0.31
23.0,55.46,0.9,1000.0,0.28
15.25,29.78,0.57,1000.0,0.31
